,state_num,ev,pct_car_buyers,car_buyers,pct_boomers,boomers,Under 5,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,+85 years,median_hh_inc,inc_norm,boomer_saturation,ev_per_c,ev_per_1k_b,ev_saturation,zip,kids,20s,30s,40s,50s,60s,70s,80s
4984,3.0,72.0,82.4,7381.0,34.5,3093.0,2.6,2.5,3.2,7.3,7.4,4.9,4.2,3.8,3.5,5.0,6.2,10.5,11.3,11.0,7.6,4.5,2.2,2.2,78582.0,0.55323081906622,0.4190489093618751,0.009754775775640157,23.270846800258564,0.0,77554,0.17599999999999993,0.12300000000000001,0.08,0.085,0.16699999999999998,0.223,0.121,0.044000000000000004
4985,3.0,1.0,75.1,721.0,22.4,215.0,7.2,5.8,5.6,5.8,4.2,6.7,5.5,6.6,5.5,6.6,7.6,8.9,5.5,8.9,4.8,2.4,1.8,0.7,95759.0,1.181739581070869,0.29819694868238555,0.0013869625520110957,4.62962962962963,0.0,77560,0.24900000000000005,0.109,0.121,0.121,0.165,0.14400000000000002,0.072,0.025
4986,3.0,22.0,71.6,8493.0,18.3,2168.0,6.6,6.6,7.6,6.3,6.3,6.6,6.5,6.5,6.3,5.6,6.5,7.3,7.1,5.4,3.7,2.5,1.4,1.1,56927.0,-0.23912857088608136,0.2552690450959614,0.002590368538796656,10.142923005993547,0.0,77562,0.28400000000000003,0.12899999999999998,0.13,0.11899999999999998,0.138,0.125,0.062,0.025
4987,3.0,18.0,75.5,7383.0,23.0,2253.0,5.6,5.8,6.4,5.5,5.6,5.0,5.8,6.5,6.0,6.2,6.8,8.0,8.4,7.2,4.5,3.0,1.9,1.6,69699.0,0.22820064308163013,0.3051605038602194,0.002438033319788704,7.985803016858917,0.0,77563,0.245,0.106,0.12300000000000001,0.122,0.14800000000000002,0.15600000000000003,0.075,0.035
4988,3.0,75.0,78.7,5483.0,24.8,1731.0,4.1,4.4,5.2,6.3,5.1,5.1,5.3,5.2,6.0,7.3,8.6,9.1,8.8,7.0,5.7,2.6,2.2,2.1,71176.0,0.28224427360389054,0.3157030822542404,0.013678643078606603,43.302540415704385,0.0,77565,0.21299999999999997,0.102,0.105,0.133,0.177,0.158,0.083,0.04300000000000001
4989,3.0,71.0,72.3,22083.0,19.8,6048.0,5.9,6.5,7.0,7.1,6.4,6.8,6.8,6.9,5.7,5.6,6.1,6.7,6.8,5.1,4.2,2.8,1.9,1.8,83709.0,0.7408284451241949,0.2738758320880315,0.003215142870081058,11.737477268970078,0.0,77566,0.277,0.132,0.13699999999999998,0.113,0.128,0.11899999999999998,0.07,0.037000000000000005
4990,3.0,193.0,72.0,14586.0,18.6,3770.0,6.7,7.0,7.0,6.2,5.4,7.2,7.5,7.0,6.3,6.0,5.8,6.6,6.1,5.6,4.2,2.4,1.6,1.5,50532.0,-0.473122489091806,0.25846702317290554,0.013231866173042643,51.180058339962876,0.0,77568,0.28,0.126,0.145,0.12300000000000001,0.12399999999999999,0.11699999999999999,0.066,0.031
4991,3.0,68.0,72.2,26740.0,19.0,7015.0,5.7,6.3,7.5,7.0,5.9,6.7,6.8,6.6,6.4,6.4,6.4,6.7,6.8,5.7,4.1,2.4,1.4,1.4,77709.0,0.5212876305449381,0.262341062079282,0.0025430067314884067,9.692132269099202,0.0,77571,0.27799999999999997,0.126,0.13399999999999998,0.128,0.131,0.125,0.065,0.027999999999999997
4992,3.0,732.0,69.7,66374.0,15.6,14870.0,5.8,7.4,8.2,7.7,5.4,5.5,6.4,7.6,7.5,7.5,6.7,6.4,5.7,4.5,3.3,2.2,1.3,1.1,111011.0,1.73981233173134,0.2240335070961521,0.011028414740711725,49.22332055678838,0.0,77573,0.303,0.109,0.14,0.15,0.131,0.102,0.055,0.024000000000000004
4993,3.0,15.0,71.4,11252.0,21.7,3424.0,6.1,7.0,7.6,6.4,5.8,6.1,5.5,6.3,5.7,6.1,6.0,6.6,6.7,6.2,4.7,3.4,1.9,1.7,53506.0,-0.364303425332021,0.30430145751866333,0.0013330963384287238,4.37956204379562,0.0,77575,0.2859999999999999,0.11899999999999998,0.11800000000000001,0.11800000000000001,0.126,0.129,0.081,0.036
4994,3.0,3.0,72.2,902.0,24.1,301.0,6.2,5.5,8.0,7.5,3.9,4.2,4.1,5.0,5.7,8.1,6.8,7.9,7.4,6.6,6.2,2.9,2.2,1.6,75714.0,0.44829030969733513,0.33370288248337027,0.0033259423503325942,9.933774834437086,0.0,77577,0.27799999999999997,0.081,0.091,0.138,0.147,0.14,0.091,0.038000000000000006
4995,3.0,455.0,68.5,17273.0,13.5,3417.0,7.4,7.9,8.1,6.9,5.2,5.3,7.3,8.7,7.8,7.7,6.5,5.6,5.0,4.2,2.9,1.7,1.0,0.9,92891.0,1.0767990717019844,0.19782319226538528,0.026341689341747236,133.1187829139848,1.0,77578,0.315,0.105,0.16,0.155,0.121,0.092,0.046,0.019
4996,3.0,4.0,58.6,58.0,12.1,12.0,6.1,12.1,9.1,12.1,3.0,4.0,7.1,8.1,5.1,4.0,9.1,8.1,3.0,4.0,2.0,1.0,0.0,2.0,157887.0,3.4550115357675475,0.20689655172413793,0.06896551724137931,307.69230769230774,1.0,77580,0.414,0.07,0.152,0.091,0.172,0.07,0.03,0.02
4997,3.0,362.0,70.8,34834.0,18.3,9004.0,5.8,7.0,7.8,7.3,5.8,5.5,6.3,6.9,7.2,7.0,6.3,6.3,6.0,5.0,4.0,2.6,1.7,1.5,95273.0,1.1639567750899493,0.2584830912327037,0.010392145604868806,40.19988895058301,0.0,77581,0.29200000000000004,0.113,0.132,0.142,0.126,0.11,0.066,0.032
4998,3.0,362.0,70.5,30394.0,10.8,4655.0,6.2,7.3,7.8,7.2,5.2,6.4,8.2,9.2,8.4,8.0,7.0,6.2,5.1,3.6,2.2,1.2,0.5,0.4,89406.0,0.9492824485671993,0.15315522800552742,0.011910245443179574,77.7491408934708,0.0,77583,0.295,0.11600000000000002,0.174,0.16399999999999998,0.132,0.087,0.034,0.009000000000000001
4999,3.0,1101.0,68.2,63472.0,13.3,12401.0,6.9,7.8,8.5,7.5,5.2,5.3,7.0,8.3,7.9,7.8,6.7,5.7,4.7,3.8,2.9,1.9,1.1,1.0,107340.0,1.6054899433445982,0.19537748928661458,0.017346231409125282,88.7760038703435,0.0,77584,0.31799999999999995,0.105,0.153,0.157,0.124,0.085,0.048,0.021
5000,3.0,210.0,75.2,17686.0,19.7,4620.0,4.4,5.9,6.6,6.6,6.0,6.4,6.3,6.5,6.4,6.9,7.0,7.9,7.6,5.7,3.9,2.7,1.7,1.4,96229.0,1.1989369448795777,0.2612235666628972,0.011873798484677145,45.444708937459424,0.0,77586,0.24799999999999997,0.124,0.128,0.133,0.149,0.133,0.066,0.030999999999999996
5001,3.0,16.0,65.6,10619.0,13.4,2167.0,6.9,7.9,8.7,8.9,8.2,7.2,5.8,6.1,6.3,6.3,6.0,5.9,4.9,4.1,2.9,1.7,1.2,1.0,45354.0,-0.6625862120737046,0.20406817967793578,0.0015067332140502872,7.380073800738007,0.0,77587,0.3440000000000001,0.154,0.11899999999999998,0.126,0.11900000000000001,0.09,0.046,0.022000000000000002
5002,3.0,35.0,71.4,21974.0,20.6,6327.0,5.7,6.5,7.7,7.5,6.4,6.6,6.2,6.1,5.9,5.8,5.7,6.6,6.8,6.0,4.6,2.7,1.7,1.7,47786.0,-0.5735990018975792,0.28793119140802764,0.0015927914808409938,5.530973451327434,0.0,77590,0.2859999999999999,0.13,0.12300000000000001,0.11699999999999999,0.12300000000000001,0.128,0.073,0.034
5003,3.0,22.0,70.9,12291.0,19.2,3329.0,6.6,7.0,7.2,7.0,6.1,7.4,7.3,6.8,6.4,5.2,5.3,6.1,5.9,5.1,4.2,2.7,1.6,2.0,51891.0,-0.42339649458960427,0.2708485883980148,0.0017899275892929785,6.606606606606606,0.0,77591,0.2909999999999999,0.135,0.141,0.11600000000000002,0.11399999999999999,0.11,0.069,0.036000000000000004
5004,3.0,1.0,77.7,570.0,23.3,171.0,6.5,6.9,5.7,2.9,2.6,5.7,8.0,8.0,3.7,6.0,7.5,8.2,10.6,7.4,7.6,2.2,0.3,0.1,64688.0,0.04484747277218742,0.3,0.0017543859649122807,5.813953488372093,0.0,77597,0.22299999999999998,0.083,0.16,0.09699999999999999,0.157,0.18,0.098,0.004
5005,3.0,80.0,74.6,19120.0,12.3,3149.0,7.0,6.1,5.3,5.4,9.5,12.6,10.0,7.7,6.3,5.5,5.4,5.0,4.4,3.5,2.3,1.5,1.0,1.4,52184.0,-0.41267558481098393,0.16469665271966527,0.0041841004184100415,25.396825396825395,0.0,77598,0.25400000000000006,0.221,0.177,0.11800000000000001,0.10400000000000001,0.079,0.038,0.024
5006,3.0,18.0,70.4,7036.0,18.0,1795.0,6.9,7.5,7.6,6.4,5.8,7.0,7.5,7.7,6.3,5.5,5.5,5.8,5.9,4.9,3.6,2.6,1.7,1.7,86680.0,0.8495377384766902,0.2551165434906197,0.002558271745309835,10.02227171492205,0.0,77611,0.29599999999999993,0.128,0.152,0.11800000000000001,0.113,0.10800000000000001,0.062,0.034
