,bd,hour,time,end_use,category,energy
204,False,3,02:00:00,range_oven,Kitchen,0.03603439390989063
205,False,3,02:00:00,refrigerator,Kitchen,1.3565724671488817
206,False,3,02:00:00,well_pump,Kitchen,0.04987161727587017
207,False,3,02:15:00,ceiling_fan,HVAC,0.052556958042995934
208,False,3,02:15:00,clothes_dryer,Laundry,0.06334712584934954
209,False,3,02:15:00,clothes_washer,Laundry,0.002552281572382281
210,False,3,02:15:00,cooling,HVAC,1.2610930187489982
211,False,3,02:15:00,cooling_fans_pumps,HVAC,0.18722842761223707
212,False,3,02:15:00,dishwasher,Kitchen,0.008299947791962416
213,False,3,02:15:00,freezer,Kitchen,0.19920630830451155
214,False,3,02:15:00,heating,HVAC,1.9556548468072614
215,False,3,02:15:00,heating_fans_pumps,HVAC,1.2586648111932637
216,False,3,02:15:00,heating_hp_bkup,HVAC,0.10199925074364942
217,False,3,02:15:00,hot_tub_heater,Hot Tub,0.09725635329205114
218,False,3,02:15:00,hot_tub_pump,Hot Tub,0.09622620016846695
219,False,3,02:15:00,hot_water,HVAC,0.4104215771796266
220,False,3,02:15:00,lighting_exterior,Lighting,0.15301419510763659
221,False,3,02:15:00,lighting_garage,Lighting,0.03150311458720172
222,False,3,02:15:00,lighting_interior,Lighting,0.5088969196332622
223,False,3,02:15:00,mech_vent,HVAC,0.03851607064019133
224,False,3,02:15:00,plug_loads,Plugs,4.776094836898805
225,False,3,02:15:00,pool_heater,Pool,0.0027855034081872864
226,False,3,02:15:00,pool_pump,Pool,0.054390867261764946
227,False,3,02:15:00,range_oven,Kitchen,0.04079020448629247
228,False,3,02:15:00,refrigerator,Kitchen,1.3137983549788972
229,False,3,02:15:00,well_pump,Kitchen,0.03990145744420692
230,False,3,02:30:00,ceiling_fan,HVAC,0.05244604264782047
231,False,3,02:30:00,clothes_dryer,Laundry,0.05518328141082955
232,False,3,02:30:00,clothes_washer,Laundry,0.002762966813948445
233,False,3,02:30:00,cooling,HVAC,1.212092570953694
234,False,3,02:30:00,cooling_fans_pumps,HVAC,0.17792960297235524
235,False,3,02:30:00,dishwasher,Kitchen,0.00794697268088827
236,False,3,02:30:00,freezer,Kitchen,0.19920630830451155
237,False,3,02:30:00,heating,HVAC,1.9669891825307155
238,False,3,02:30:00,heating_fans_pumps,HVAC,1.2675840488831225
239,False,3,02:30:00,heating_hp_bkup,HVAC,0.10158990959731125
240,False,3,02:30:00,hot_tub_heater,Hot Tub,0.09725635329205114
241,False,3,02:30:00,hot_tub_pump,Hot Tub,0.09622620016846695
242,False,3,02:30:00,hot_water,HVAC,0.4038138379289314
